Sl No,Emplid,Campus ID,QUIZ 1
849,41120250352,2025B3PS0352H,2
850,41120250353,2025B3PS0353H,8
851,41120250354,2025B3PS0354H,6
852,41120250355,2025B3PS0355H,4
853,41120250356,2025B3PS0356H,2
854,41120250358,2025B3PS0358H,2
855,41120250359,2025B3PS0359H,6
856,41120250360,2025B3PS0360H,6
857,41120250361,2025B3PS0361H,6
858,41120250362,2025B3PS0362H,0
859,41120250363,2025B3PS0363H,2
860,41120250364,2025B3PS0364H,2
861,41120250365,2025B3PS0365H,2
862,41120250368,2025B3PS0368H,12
863,41120250369,2025B3PS0369H,0
864,41120250371,2025B3PS0371H,6
865,41120250375,2025B3PS0375H,2
866,41120250378,2025B3PS0378H,2
867,41120250379,2025B3PS0379H,6
868,41120250382,2025B3PS0382H,6
869,41120250383,2025B3PS0383H,12
870,41120250384,2025B3PS0384H,0
871,41120250385,2025B3PS0385H,0
872,41120250386,2025B3PS0386H,16
873,41120250388,2025B3PS0388H,2
874,41120250389,2025B3PS0389H,6
875,41120250390,2025B3PS0390H,2
876,41120250394,2025B3PS0394H,18
877,41120250396,2025B3PS0396H,0
878,41120250397,2025B3PS0397H,2
879,41120250398,2025B3PS0398H,0
880,41120250399,2025B3PS0399H,12
881,41120250402,2025B3PS0402H,0
882,41120250403,2025B3PS0403H,0
883,41120250404,2025B3PS0404H,0
884,41120250405,2025B3PS0405H,0
885,41120250406,2025B3PS0406H,0
886,41120250407,2025B3PS0407H,2
887,41120250408,2025B3PS0408H,8
888,41120250411,2025B3PS0411H,0
889,41120250412,2025B3PS0412H,2
890,41120250414,2025B3PS0414H,4
891,41120250415,2025B3PS0415H,6
892,41120250417,2025B3PS0417H,6
893,41120250418,2025B3PS0418H,4
894,41120250419,2025B3PS0419H,4
895,41120250420,2025B3PS0420H,8
896,41120250421,2025B3PS0421H,2
897,41120250422,2025B3PS0422H,6
898,41120250423,2025B3PS0423H,6
899,41120250427,2025B3PS0427H,2
900,41120250497,2025B3PS0497H,8
901,41120250501,2025B3PS0501H,4
902,41120250504,2025B3PS0504H,0
903,41120250597,2025B3PS0597H,0
904,41120250600,2025B3PS0600H,2
905,41120250601,2025B3PS0601H,12
906,41120250606,2025B3PS0606H,2
907,41120250614,2025B3PS0614H,6
908,41120250615,2025B3PS0615H,0
909,41120250619,2025B3PS0619H,2
910,41120250620,2025B3PS0620H,0
911,41120250621,2025B3PS0621H,6
912,41120250622,2025B3PS0622H,0
913,41120250623,2025B3PS0623H,0
914,41120250625,2025B3PS0625H,2
915,41120250630,2025B3PS0630H,2
916,41120250782,2025B3PS0782H,6
917,41120250795,2025B3PS0795H,8
918,41120250796,2025B3PS0796H,8
919,41120250797,2025B3PS0797H,6
920,41120250800,2025B3PS0800H,4
921,41120250806,2025B3PS0806H,0
922,41120250814,2025B3PS0814H,12
923,41120250900,2025B3PS0900H,0
924,41120250909,2025B3PS0909H,0
925,41120250912,2025B3PS0912H,0
926,41120250915,2025B3PS0915H,18
927,41120250917,2025B3PS0917H,0
928,41120250920,2025B3PS0920H,14
929,41120250940,2025B3PS0940H,8
930,41120250941,2025B3PS0941H,6
931,41120250942,2025B3PS0942H,6
932,41120251233,2025B3PS1233H,2
933,41120251250,2025B3PS1250H,12
934,41120252061,2025B3PS2061H,2
935,41120252065,2025B3PS2065H,2
936,41120252067,2025B3PS2067H,10
937,41120252801,2025B3TS2801H,20
938,41120250530,2025B4PS0530H,2
939,41120250544,2025B4PS0544H,6
940,41120250553,2025B4PS0553H,2
941,41120250555,2025B4PS0555H,0
942,41120250590,2025B4PS0590H,10
943,41120250594,2025B4PS0594H,2
944,41120250595,2025B4PS0595H,4
945,41120250596,2025B4PS0596H,8
946,41120250602,2025B4PS0602H,6
